"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @TheMtnsVoice: WHY THIS YEAR'S #FLU #VACCINE COULD MAKE YOU SICKER
""Original Antigenic Sin"" is a well researched vaccine concept which r…",FALSE,0,NA,2018-03-10 00:03:23,FALSE,NA,"972261597392654336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TeaBoots",26,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/894675368573095936/Q4gBRhry_normal.jpg"
"2","RT @TheMtnsVoice: WHY THIS YEAR'S #FLU #VACCINE COULD MAKE YOU SICKER
""Original Antigenic Sin"" is a well researched vaccine concept which r…",FALSE,0,NA,2018-03-10 00:02:30,FALSE,NA,"972261376449228801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JMONEILL1975",26,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/921687671956635648/ii3tLKhN_normal.jpg"
"3","RT @Salon: Here's how the 1918 “great influenza” helped advance women's rights https://t.co/EUhj7pSgPx",FALSE,0,NA,2018-03-10 00:00:53,FALSE,NA,"972260970486747142",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ILovePaintings",7,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/965888760561971200/IR8BnY1s_normal.jpg"
"4","The Victorian Government has announced it will spend $3.5 million to offer the free children's influenza vaccinatio… https://t.co/kxmcs9IvhW",FALSE,0,NA,2018-03-10 00:00:37,TRUE,NA,"972260901163323392",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LinkHealthCom",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/616043955583451136/wp-lwNk4_normal.jpg"
"5","RT @JanssenGlobal: There is a clear need to find new ways to limit #influenza outbreaks. #FightFlu. Learn more about #Janssen’s aim to deve…",FALSE,0,NA,2018-03-09 23:44:11,FALSE,NA,"972256768234606592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luvnmygirl",20,TRUE,FALSE,NA,NA,"Georgia, USA","en","http://pbs.twimg.com/profile_images/914463288624340992/tMKvqH2O_normal.jpg"
"6","RT @InfectDisNews: This #flu season has been one of the most severe in recent years, causing a disease burden throughout the U.S. comparabl…",FALSE,0,NA,2018-03-09 23:42:38,FALSE,NA,"972256378558599168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jdabanchpena",5,TRUE,FALSE,NA,NA,"Chile","es","http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"7","Oops! Quote: ""As thousands continue to die from the deadly flu outbreak, health officials have now come forward to… https://t.co/nzDeBokWLb",FALSE,0,NA,2018-03-09 23:40:34,TRUE,NA,"972255856040423424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RVolutionaryAct",0,FALSE,FALSE,NA,NA,"New Zealand","en","http://pbs.twimg.com/profile_images/922325139223601152/dZ7rEYCM_normal.jpg"
"8","@CKRosekilly30 @AntWHarrison @nhsCFwarriormum First 6-8 months were rough but after that my hospital admission came… https://t.co/A60JmAINaS",FALSE,0,"CKRosekilly30",2018-03-09 23:36:41,TRUE,"972254312230539265","972254878939611137","334278841","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jilli09",0,FALSE,FALSE,NA,NA,"Longford, Ireland","en","http://pbs.twimg.com/profile_images/919110087918129152/3I7GdY79_normal.jpg"
"9","RT @epaultaylor: We have been thinking about the #flushot all wrong: It may not always prevent illness, but it will reduce risk of death. B…",FALSE,0,NA,2018-03-09 23:32:37,FALSE,NA,"972253857437900800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sarahkbingler",2,TRUE,FALSE,NA,NA,"Toronto, Ontario","en","http://pbs.twimg.com/profile_images/966116702328184832/7LaUyv4U_normal.jpg"
"10","Yeah! Finally we have big drops in flu and #influenza flu like illness (ILI) after a very busy season! @TexasDSHS… https://t.co/WUjN3NtYm9",FALSE,1,NA,2018-03-09 23:27:33,TRUE,NA,"972252580092006400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrStephenPont",0,FALSE,FALSE,NA,NA,"Austin, Texas","en","http://pbs.twimg.com/profile_images/788494140690444288/3bcj7Hf9_normal.jpg"
